file,rhythmic_entropy,melodic_range,hnr,spectral_centroid,spectral_bandwidth,zero_crossing_rate,rms_energy
H73N.mp3,-5204.8571606026,4001.636,1.7509598,2150.200859263508,2113.9351150461503,0.1110536186256219,0.20181832
H41N.mp3,-5659.264830851726,4001.8093,0.9627735,2597.2321677898244,2064.6342653101105,0.1569583027940654,0.31187803
H418N.mp3,-4235.519040395696,3979.8418,40.67486,2303.087516244995,2080.0053417936037,0.12550181569829424,0.15401147
H457N.mp3,-4399.686839770862,3903.171,4.462184,1119.2041940307977,1473.63938059533,0.04759024353678038,0.12976797
H460N.mp3,-5431.756900766409,3447.3552,2.196767,788.7470493834745,963.4832128141836,0.03585691797707889,0.1466565
H258N.mp3,-4055.932087838484,3998.74,-10.211003,2289.413579704918,2352.549589976312,0.09108510183457712,0.17807484
H399N.mp3,-5862.030679109185,3961.1113,19.867544,1329.365313448305,1716.6027631521342,0.04953538668265814,0.20091979
H167N.mp3,-6169.595348204457,3138.2588,-2.826369,621.6701547091669,659.2117412350667,0.041267573960554374,0.21528475
H217N.mp3,-4603.720729069818,3962.8425,0.43976942,1748.9997743855167,1964.0520104807374,0.06189476723525231,0.17692006
H204N.mp3,-4910.744139821928,3999.257,-0.8375776,1326.3293383528626,1466.5939361687615,0.06223798696250889,0.12550591
H361N.mp3,-3978.3070425665924,3998.5342,-1.423371,1873.1728881876693,2047.3204885926184,0.06761602145522388,0.29596606
H115N.mp3,-4833.043261039076,4000.1106,-2.5962775,1917.8886548172893,1865.4935546384372,0.0892600335376688,0.19029261
H141N.mp3,-4677.045544838056,3465.5144,4.3789396,1137.2746411848793,1428.7908929153975,0.03912427261016347,0.08086233
H354N.mp3,-5592.6352802725905,3995.6038,6.0633435,1176.4477905148817,1658.5089231641703,0.03655897410270078,0.07279536
H106N.mp3,-4377.996568352282,3966.195,0.5920623,1796.6595944543044,1748.9376722637467,0.09163099124911159,0.2898355
H294N.mp3,-4167.028685546122,2943.15,1.4455564,844.4125040001119,1034.1396868512506,0.040952811278429285,0.21743394
H313N.mp3,-4907.644073810938,4001.8584,52.5113,2334.828052452973,1991.1618823754154,0.1514279189987562,0.17112549
H114N.mp3,-5523.139167674434,4000.9824,6.6687465,2133.1937811417583,1967.6213001959186,0.106448088797086,0.19015412
H142N.mp3,-3903.7583377874807,4001.812,0.44864798,2020.3388070265141,2034.1603323299933,0.10713661047441364,0.15340447
H184N.mp3,-4634.528079252093,3715.3914,-37.717686,1550.7923493208993,2020.5648735123375,0.05886721526297086,0.25630832
H322N.mp3,-5610.237376462581,3822.133,-2.5440533,879.5779974056559,1335.317113929509,0.022139234075159914,0.16113639
H40N.mp3,-4566.252963533027,3999.9746,-5.20789,2050.8171571506077,1952.2431433088025,0.09556431014570008,0.23491898
H161N.mp3,-5405.5033883780525,2378.9414,-10.992119,496.77558133640446,828.6611938306014,0.017954313255152808,0.21873486
H392N.mp3,-6273.105679429261,3335.398,4.847463,1109.5940710039522,1106.8493036926716,0.06540678304904052,0.1065974
H4N.mp3,-5447.724656937735,3984.142,81.9996,1137.0180457630493,1361.8414761796373,0.05552941209132907,0.13850123
H139N.mp3,-6481.849622813139,3824.7417,13.331063,1598.7301427639431,1850.3541112011947,0.059757018479033405,0.19400214
H406N.mp3,-5709.432771562324,3999.018,25.232666,1604.778972439968,1694.3423203710968,0.07870836942519545,0.22185835
H20N.mp3,-7131.101847973645,3834.731,-307.81787,871.6037960170888,1046.907713019359,0.039195068185856434,0.1758833
H436N.mp3,-4740.536718764937,4001.5413,-5.90984,2252.150950516634,2146.5497970413167,0.10353887648809523,0.130565
H198N.mp3,-5001.587397243366,3983.2656,3.3741899,1053.890341498575,1346.710408850003,0.0470721170931059,0.20527604
H347N.mp3,-6233.558125536416,3530.079,19.055752,1009.9720734790542,1387.9576050237847,0.033702511438344,0.14816786
